Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000002D8,false,Rx,0,3,00,02,10,00,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,000002D5,false,Rx,0,7,01,00,00,00,81,6E,48,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,000004D9,false,Rx,0,8,01,77,1F,1A,00,1F,1A,21,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,000002DC,false,Rx,0,8,60,00,00,00,00,00,00,00,
0,00000400,false,Rx,0,8,11,02,01,01,00,01,00,01,
0,00000405,false,Rx,0,8,01,67,05,EE,9E,4D,06,45,
0,00000080,false,Rx,0,8,19,09,15,13,36,38,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,000004D0,false,Rx,0,4,62,80,00,00,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000400,false,Rx,0,8,12,00,01,00,01,00,01,02,
0,00000405,false,Rx,0,8,02,41,3F,00,34,04,21,FF,
0,00000080,false,Rx,0,8,19,09,15,13,36,38,00,00,
0,000002DB,false,Rx,0,8,00,64,00,64,00,00,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,000002A5,false,Rx,0,3,00,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000004D7,false,Rx,0,8,29,42,05,43,00,00,00,00,
0,000004F3,false,Rx,0,8,42,42,54,35,36,34,39,35,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,000002D0,false,Rx,0,8,00,00,19,07,00,00,00,00,
0,000002D1,false,Rx,0,8,00,00,00,01,02,20,10,00,
0,000002D2,false,Rx,0,8,01,41,FF,FF,20,00,0F,FF,
0,000002E0,false,Rx,0,8,FF,FF,00,02,00,00,00,00,
0,000002E5,false,Rx,0,8,24,24,00,00,01,00,00,00,
0,000002E7,false,Rx,0,8,FF,FF,FF,FF,00,00,00,00,
0,000002E8,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002E9,false,Rx,0,8,00,00,00,00,7C,00,00,00,
0,000002E3,false,Rx,0,1,02,00,00,00,00,00,00,00,
0,000002EA,false,Rx,0,8,00,00,00,00,FF,F4,04,02,
0,000002EB,false,Rx,0,8,00,00,00,00,03,FF,FF,FF,
0,000002EC,false,Rx,0,8,FF,FF,00,00,00,00,00,00,
0,000002EE,false,Rx,0,8,FF,FE,3F,F8,00,00,00,00,
0,000002FA,false,Rx,0,8,01,0E,F0,FF,00,00,00,00,
0,000004D4,false,Rx,0,8,12,00,00,01,00,00,00,00,
0,000004DB,false,Rx,0,8,18,05,00,00,00,00,00,00,
0,000004DC,false,Rx,0,8,78,07,00,00,00,00,00,00,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000400,false,Rx,0,8,13,01,01,00,01,02,02,02,
0,00000080,false,Rx,0,8,19,09,15,13,36,39,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,000002DA,false,Rx,0,5,40,4A,00,2A,00,00,00,00,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,000001E6,false,Rx,0,5,00,0C,E8,07,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,000004D2,false,Rx,0,8,11,00,00,00,00,00,00,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000400,false,Rx,0,8,14,02,02,01,00,00,00,00,
0,00000405,false,Rx,0,8,12,42,54,35,36,34,39,35,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000080,false,Rx,0,8,19,09,15,13,36,39,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,000002D8,false,Rx,0,3,00,02,10,00,00,00,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,000002D5,false,Rx,0,7,01,00,00,00,81,6E,48,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,000004D9,false,Rx,0,8,01,77,1F,1A,00,1F,1A,21,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000287,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000289,false,Rx,0,8,03,9C,02,B8,03,9C,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000400,false,Rx,0,8,15,03,00,02,02,02,00,00,
0,00000405,false,Rx,0,8,01,67,05,EE,9E,57,F9,BA,
0,00000080,false,Rx,0,8,19,09,15,13,36,39,00,00,
0,00000511,false,Rx,0,8,0F,02,20,00,6D,6A,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,000002DC,false,Rx,0,8,60,00,00,00,00,00,00,00,
0,00000201,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000285,false,Rx,0,3,60,00,00,00,00,00,00,00,
0,00000420,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000131,false,Rx,0,8,93,83,00,00,00,00,00,00,
0,00000433,false,Rx,0,8,C0,00,00,80,00,A0,00,00,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,0000050F,false,Rx,0,8,11,12,00,51,00,03,01,42,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,54,00,
0,000004D0,false,Rx,0,4,62,80,00,00,00,00,00,00,
