Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000028,false,Rx,0,8,00,81,10,00,48,FF,FF,FF,
0,00000078,false,Rx,0,8,00,60,00,80,00,03,0F,7F,
0,00000400,false,Rx,0,8,10,02,01,02,02,01,02,10,
0,00000405,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000040,false,Rx,0,8,F8,00,00,00,00,01,B0,27,
0,00000038,false,Rx,0,8,00,00,00,61,00,01,08,00,
0,00000080,false,Rx,0,8,19,09,15,13,33,02,00,00,
0,00000270,false,Rx,0,8,00,00,00,10,00,00,00,00,
0,00000010,false,Rx,0,8,08,00,00,00,00,40,00,00,
0,00000035,false,Rx,0,8,00,02,00,00,00,00,00,00,
0,00000065,false,Rx,0,8,00,00,02,00,BA,02,A1,02,
0,00000079,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000060,false,Rx,0,8,01,80,27,10,00,DF,00,00,
0,00000084,false,Rx,0,8,03,00,00,80,00,00,00,00,
0,00000067,false,Rx,0,8,41,80,08,02,80,A0,00,40,
0,00000048,false,Rx,0,8,FF,07,6C,45,27,02,E0,A0,
0,00000024,false,Rx,0,8,00,00,FF,04,3F,FF,FF,FF,
0,00000070,false,Rx,0,8,00,F0,00,BE,9D,B0,01,A8,
0,00000295,false,Rx,0,8,04,80,2A,2A,F8,01,55,00,
0,0000006B,false,Rx,0,8,47,CA,00,03,82,32,3C,00,
0,00000038,false,Rx,0,8,00,00,00,61,00,01,08,00,
0,00000131,false,Rx,0,8,30,7E,00,03,FF,00,00,00,
0,00000050,false,Rx,0,8,40,27,2A,47,3A,66,50,2C,
0,00000028,false,Rx,0,8,00,81,10,00,48,FF,FF,FF,
0,00000040,false,Rx,0,8,F8,00,00,00,00,01,B0,27,
0,00000120,false,Rx,0,8,63,FF,FC,12,D8,08,71,05,
0,0000012C,false,Rx,0,8,8D,A9,B0,F5,08,00,60,00,
0,00000433,false,Rx,0,8,C0,00,00,00,00,A0,00,00,
0,00000480,false,Rx,0,8,00,00,00,96,5F,00,05,01,
0,00000010,false,Rx,0,8,08,00,00,00,00,40,00,00,
0,00000068,false,Rx,0,8,50,00,00,00,00,00,A8,00,
0,00000078,false,Rx,0,8,00,60,00,80,00,03,0A,7F,
0,00000079,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000030,false,Rx,0,8,06,00,00,00,00,00,00,00,
0,0000008B,false,Rx,0,8,27,00,00,38,00,1F,3C,50,
0,00000060,false,Rx,0,8,01,80,27,10,00,DF,00,00,
0,00000503,false,Rx,0,8,04,12,00,01,01,00,00,00,
0,00000035,false,Rx,0,8,00,02,00,00,00,00,00,00,
0,00000065,false,Rx,0,8,00,00,02,00,BA,02,A1,02,
0,00000038,false,Rx,0,8,00,00,00,61,00,01,08,00,
0,00000067,false,Rx,0,8,41,80,08,02,80,A0,00,40,
0,0000006B,false,Rx,0,8,47,CA,00,03,82,32,3C,00,
0,00000048,false,Rx,0,8,FF,07,6C,45,27,02,E0,A0,
0,00000084,false,Rx,0,8,03,00,00,80,00,00,00,00,
0,00000070,false,Rx,0,8,00,F0,00,BE,9D,B0,01,A8,
0,00000028,false,Rx,0,8,00,81,10,00,48,FF,FF,FF,
0,00000040,false,Rx,0,8,F8,00,00,00,00,01,B0,27,
0,00000110,false,Rx,0,8,02,33,13,15,09,19,80,00,
0,00000010,false,Rx,0,8,08,00,00,00,00,40,00,00,
0,00000050,false,Rx,0,8,C0,27,2A,47,3A,67,50,2C,
0,00000079,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000068,false,Rx,0,8,50,00,00,00,00,00,A8,00,
0,00000078,false,Rx,0,8,00,60,00,80,00,03,0B,7F,
0,00000060,false,Rx,0,8,01,80,27,10,00,DF,00,00,
0,00000038,false,Rx,0,8,00,00,00,61,00,01,08,00,
0,0000006B,false,Rx,0,8,47,CA,00,03,82,32,3C,00,
0,00000035,false,Rx,0,8,00,02,00,00,00,00,00,00,
0,00000065,false,Rx,0,8,00,00,02,00,BA,02,A1,02,
0,00000210,false,Rx,0,8,00,00,00,00,0D,A4,00,BE,
0,00000067,false,Rx,0,8,41,80,08,02,80,A0,00,40,
0,00000131,false,Rx,0,8,30,7E,00,03,FF,00,00,00,
0,00000028,false,Rx,0,8,00,81,10,00,48,FF,FF,FF,
0,00000040,false,Rx,0,8,F8,00,00,00,00,01,B0,27,
